feature,importance
diff_whip_avg10,0.02652303
diff_bb9_avg10,0.01995683
diff_era_avg10,0.019272111
diff_ops_avg10,0.018895322
vis_k9_avg10,0.018703979
home_pitcher_rolling_wins_centered_10,0.01868528
vis_ops_avg10,0.01775693
home_hr9_avg10,0.017515317
vis_bb9_avg10,0.01732841
vis_era_avg10,0.017233899
home_ops_avg10,0.01719221
vis_pitcher_rolling_wins_centered_10,0.01709709
daynight,0.01704857
diff_b_hr_avg10,0.01702987
home_whip_avg10,0.017021267
vis_slg_avg10,0.017010333
diff_slg_avg10,0.016922982
diff_run_diff_avg10,0.016894586
vis_whip_avg10,0.01680177
home_b_k_avg10,0.01677124
home_slg_avg10,0.01652754
diff_b_w_avg10,0.01646344
diff_b_h_avg10,0.016446978
home_obp_avg10,0.01644045
home_k9_avg10,0.016328955
diff_hr9_avg10,0.01632488
home_b_sb_avg10,0.016285464
vis_b_k_avg10,0.016218416
diff_d_e_avg10,0.016217032
home_era_avg10,0.016100109
diff_k9_avg10,0.016036058
home_rolling_avg_runs_10,0.015978638
temp,0.015966967
vis_d_e_avg10,0.015962832
home_rolling_avg_h2h_wins_10,0.015896056
diff_obp_avg10,0.01587228
home_d_e_avg10,0.015828155
diff_b_k_avg10,0.015805693
diff_p_r_avg10,0.015731063
away_rolling_avg_wins_10,0.015504198
diff_b_sb_avg10,0.015449044
away_rolling_avg_runs_10,0.015412666
vis_hr9_avg10,0.015353318
vis_b_w_avg10,0.015246416
diff_win_avg10,0.01523274
vis_b_sb_avg10,0.015094183
vis_obp_avg10,0.015041147
vis_b_h_avg10,0.014988971
away_rolling_avg_runs_allowed_10,0.014817412
home_rolling_avg_wins_10,0.014614816
home_rolling_avg_runs_allowed_10,0.014539433
home_b_h_avg10,0.014500527
home_b_hr_avg10,0.014457694
vis_b_hr_avg10,0.014454004
home_rest_days,0.014394645
windspeed,0.014227447
home_bb9_avg10,0.014177643
home_rolling_avg_run_diff_10,0.013846803
diff_b_r_avg10,0.013727933
away_rolling_avg_run_diff_10,0.013558047
home_b_w_avg10,0.01315768
away_rest_days,0.010111101
away_rolling_avg_h2h_wins_10,0.0
