feature,coefficient
diff_bb9_avg10,-0.07281692400624375
home_pitcher_rolling_wins_centered_10,0.06262155694031754
vis_k9_avg10,-0.058332663115298666
diff_b_hr_avg10,0.05528125041729642
vis_pitcher_rolling_wins_centered_10,-0.049997950354720926
diff_b_w_avg10,0.04616195320897107
diff_k9_avg10,0.04222344922312345
diff_whip_avg10,-0.02512717862619784
home_d_e_avg10,-0.019007754825173275
diff_run_diff_avg10,0.01797544475151205
vis_era_avg10,0.01727268558439965
vis_b_k_avg10,0.012195582524049986
home_b_sb_avg10,-0.011784414568688126
away_rolling_avg_runs_allowed_10,0.008072439040782869
vis_hr9_avg10,0.005669168578502568
diff_b_k_avg10,-0.00434192092331155
daynight,0.0040747314945019895
away_rest_days,0.0032231819331360527
diff_d_e_avg10,-0.0031952449175105587
vis_b_hr_avg10,-0.002489291407562367
home_b_h_avg10,-0.0024087733575241933
diff_p_r_avg10,-0.0017803809682494893
vis_b_w_avg10,-0.0011046110550078632
away_rolling_avg_h2h_wins_10,0.0009004986249932459
home_rolling_avg_h2h_wins_10,-0.000900498624992834
vis_d_e_avg10,0.0
diff_win_avg10,0.0
diff_b_r_avg10,0.0
home_rolling_avg_wins_10,0.0
diff_hr9_avg10,0.0
diff_obp_avg10,0.0
diff_slg_avg10,0.0
diff_ops_avg10,0.0
diff_era_avg10,0.0
diff_b_h_avg10,0.0
diff_b_sb_avg10,0.0
temp,0.0
home_hr9_avg10,0.0
home_era_avg10,0.0
home_bb9_avg10,0.0
vis_bb9_avg10,0.0
home_rolling_avg_runs_10,0.0
away_rolling_avg_runs_10,0.0
home_rolling_avg_runs_allowed_10,0.0
home_rolling_avg_run_diff_10,0.0
away_rolling_avg_run_diff_10,0.0
home_rest_days,0.0
vis_b_h_avg10,0.0
home_b_hr_avg10,0.0
home_b_w_avg10,0.0
home_b_k_avg10,0.0
vis_b_sb_avg10,0.0
vis_obp_avg10,0.0
home_obp_avg10,0.0
vis_slg_avg10,0.0
home_slg_avg10,0.0
vis_ops_avg10,0.0
home_ops_avg10,0.0
away_rolling_avg_wins_10,0.0
vis_whip_avg10,0.0
home_whip_avg10,0.0
home_k9_avg10,0.0
windspeed,0.0
