params,mean_test_score,std_test_score,rank_test_score
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 0.5, 'model__class_weight': 'balanced', 'model__C': 0.01}",0.5684591637230405,0.01833012779467465,1
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.5, 'model__class_weight': None, 'model__C': 0.01}",0.5684517031532161,0.01834267360264685,2
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 1.0, 'model__class_weight': 'balanced', 'model__C': 0.01}",0.5673376161483288,0.019173996024740205,3
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 1.0, 'model__class_weight': None, 'model__C': 0.1}",0.5653672174971838,0.01902190800292541,4
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 1.0, 'model__class_weight': None, 'model__C': 0.1}",0.5653672174971838,0.01902190800292541,4
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 1.0, 'model__class_weight': None, 'model__C': 0.1}",0.5653672174971838,0.01902190800292541,4
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 1.0, 'model__class_weight': 'balanced', 'model__C': 0.1}",0.5653395936780703,0.019053918358152296,7
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.5, 'model__class_weight': None, 'model__C': 0.1}",0.5644497717599908,0.018756536814664052,8
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 0.5, 'model__class_weight': 'balanced', 'model__C': 0.1}",0.5643997344629106,0.018822740900472704,9
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.5, 'model__class_weight': 'balanced', 'model__C': 0.1}",0.5643997344629106,0.018822740900472704,9
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 0.0, 'model__class_weight': None, 'model__C': 0.01}",0.5640514437476722,0.01862078239043113,11
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 0.0, 'model__class_weight': 'balanced', 'model__C': 0.01}",0.5640066721168524,0.018666835471537798,12
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.0, 'model__class_weight': 'balanced', 'model__C': 0.01}",0.5640066721168524,0.018666835471537798,12
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 0.0, 'model__class_weight': 'balanced', 'model__C': 0.01}",0.5640066721168524,0.018666835471537798,12
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 1.0, 'model__class_weight': None, 'model__C': 0.5}",0.563103825443988,0.01849040538244799,15
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 1.0, 'model__class_weight': None, 'model__C': 0.5}",0.563103825443988,0.01849040538244799,15
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 1.0, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.5630601377949394,0.018541856730325625,17
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.5, 'model__class_weight': None, 'model__C': 0.5}",0.5626067341523375,0.018371227176940962,18
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 1.0, 'model__class_weight': None, 'model__C': 1.0}",0.5625695758240686,0.018351487569304954,19
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 0.0, 'model__class_weight': None, 'model__C': 0.1}",0.5624827878884219,0.01825627511511857,20
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.0, 'model__class_weight': None, 'model__C': 0.1}",0.5624827878884219,0.01825627511511857,20
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 0.0, 'model__class_weight': 'balanced', 'model__C': 0.1}",0.5624355799731032,0.01829748059327645,22
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.0, 'model__class_weight': 'balanced', 'model__C': 0.1}",0.5624355799731032,0.01829748059327645,22
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 1.0, 'model__class_weight': None, 'model__C': 2.0}",0.5623732184482264,0.01819266630744001,24
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 0.5, 'model__class_weight': 'balanced', 'model__C': 1.0}",0.5623687820864411,0.018262987102487947,25
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.5, 'model__class_weight': 'balanced', 'model__C': 1.0}",0.5623687820864411,0.018262987102487947,25
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 0.5, 'model__class_weight': None, 'model__C': 2.0}",0.5622843198939271,0.01810841989594413,27
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.5, 'model__class_weight': None, 'model__C': 2.0}",0.5622843198939271,0.01810841989594413,27
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 1.0, 'model__class_weight': None, 'model__C': 5.0}",0.5622650987696265,0.018090139003876807,29
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 1.0, 'model__class_weight': None, 'model__C': 5.0}",0.5622650987696265,0.018090139003876807,29
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 0.0, 'model__class_weight': None, 'model__C': 10.0}",0.5622582408487136,0.01806297212164379,31
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.0, 'model__class_weight': None, 'model__C': 10.0}",0.5622582408487136,0.01806297212164379,31
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 0.0, 'model__class_weight': None, 'model__C': 0.5}",0.5622522747619995,0.01806630755561762,33
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.0, 'model__class_weight': None, 'model__C': 5.0}",0.5622394577431241,0.0180490805723881,34
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.5, 'model__class_weight': None, 'model__C': 5.0}",0.5622273680398966,0.018063704697295978,35
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 0.5, 'model__class_weight': None, 'model__C': 5.0}",0.5622273680398966,0.018063704697295978,35
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 1.0, 'model__class_weight': None, 'model__C': 10.0}",0.5622237872631142,0.018059508616338198,37
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 1.0, 'model__class_weight': None, 'model__C': 10.0}",0.5622237872631142,0.018059508616338198,37
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 0.0, 'model__class_weight': None, 'model__C': 1.0}",0.5622148619683965,0.018045678629505523,39
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.0, 'model__class_weight': None, 'model__C': 1.0}",0.5622148619683965,0.018045678629505523,39
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.0, 'model__class_weight': None, 'model__C': 2.0}",0.562212888968092,0.018040992665001684,41
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 0.0, 'model__class_weight': 'balanced', 'model__C': 10.0}",0.5622122482816116,0.018097522802723535,42
