params,mean_test_score,std_test_score,rank_test_score
"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 5, 'class_weight': None}",0.5642812499597787,0.01755662458710384,1
"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5, 'class_weight': 'balanced'}",0.5640415882475249,0.017607327309415454,2
"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5, 'class_weight': 'balanced'}",0.5639071356194177,0.016781852948707945,3
"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 3, 'class_weight': 'balanced'}",0.5638767559559986,0.017153669929134502,4
"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 3, 'class_weight': None}",0.5635652732051584,0.017415792573600885,5
"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 3, 'class_weight': 'balanced'}",0.5634232400045315,0.01720301387281601,6
"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5, 'class_weight': 'balanced'}",0.5632967228395901,0.018792035507780625,7
"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_features': 0.3, 'max_depth': 3, 'class_weight': None}",0.5626036788678004,0.016914608405857894,8
"{'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 5, 'class_weight': 'balanced'}",0.5625257207768406,0.01881322517729916,9
"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 7, 'class_weight': None}",0.5623625096249663,0.01640856976362839,10
"{'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': 3, 'class_weight': 'balanced'}",0.5616827493390082,0.01717645806495429,11
"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 7, 'class_weight': None}",0.5616814835525157,0.016566397967913246,12
"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 7, 'class_weight': 'balanced'}",0.5616311515312535,0.018182091589288418,13
"{'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 7, 'class_weight': 'balanced'}",0.5614214614368803,0.01755242228401007,14
"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': 5, 'class_weight': None}",0.5612818377263584,0.017177976069263547,15
"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 7, 'class_weight': 'balanced'}",0.5609457045628984,0.01861189686701995,16
"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 3, 'class_weight': None}",0.5607290378178493,0.01605602188635935,17
"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 0.3, 'max_depth': 7, 'class_weight': 'balanced'}",0.5603503482272485,0.01920388827607612,18
"{'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 5, 'class_weight': None}",0.5602834748172008,0.017060679538152813,19
